tdtfile,medfile,rat,session,stype,box,dietgroup,date,bottleL,bottleR,licksL,licksR,Totallicks,missedtrials,intakeL,intakeR,sig-blue,sig-uv,ttl-trialL,ttl-trialR,ttl-lickL,ttl-lickR,include-py,include-mat,endcol
Eelke-171107-115532,!2017-11-07_11h43m.Subject PPP1.4,PPP1.4,s13,cond2-cas1,2.0,NP,171107.0,caseinGR,empty,2564.0,0.0,2424.0,0.0,20.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171107-091615,!2017-11-07_08h46m.Subject PPP1.5,PPP1.5,s13,cond2-malt1,1.0,LP,171107.0,empty,maltodextrinGR,0.0,1983.0,1983.0,0.0,0.0,16.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171107-091615,!2017-11-07_08h46m.Subject PPP1.6,PPP1.6,s13,cond2-malt1,2.0,LP,171107.0,maltodextrinGR,empty,2481.0,0.0,2481.0,0.0,16.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171107-101344,!2017-11-07_09h52m.Subject PPP1.7,PPP1.7,s13,cond2-cas1,1.0,LP,171107.0,empty,caseinGR,0.0,1487.0,1487.0,0.0,0.0,10.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171107-101344,!2017-11-07_09h52m.Subject PPP1.8,PPP1.8,s13,cond2-cas1,2.0,LP,171107.0,caseinGR,empty,2978.0,0.0,2978.0,15.0,20.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171108-092511,!2017-11-08_09h17m.Subject PPP1.1,PPP1.1,s14,cond2-cas2,1.0,NP,171108.0,caseinCH,empty,3964.0,0.0,3964.0,1.0,24.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171108-092511,!2017-11-08_09h17m.Subject PPP1.2,PPP1.2,s14,cond2-cas2,2.0,NP,171108.0,empty,caseinCH,0.0,1751.0,1751.0,1.0,0.0,16.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171108-100729,!2017-11-08_09h58m.Subject PPP1.3,PPP1.3,s14,cond2-malt2,1.0,NP,171108.0,maltodextrinCH,empty,2526.0,0.0,2526.0,0.0,20.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171108-100729,!2017-11-08_09h58m.Subject PPP1.4,PPP1.4,s14,cond2-malt2,2.0,NP,171108.0,empty,maltodextrinCH,0.0,3025.0,3025.0,0.0,0.0,20.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171108-104948,!2017-11-08_10h40m.Subject PPP1.5,PPP1.5,s14,cond2-cas2,1.0,LP,171108.0,caseinCH,empty,3297.0,0.0,3297.0,0.0,21.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171108-104948,!2017-11-08_10h40m.Subject PPP1.6,PPP1.6,s14,cond2-cas2,2.0,LP,171108.0,empty,caseinCH,0.0,2912.0,2912.0,0.0,0.0,21.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171108-084509,!2017-11-08_08h30m.Subject PPP1.7,PPP1.7,s14,cond2-malt2,1.0,LP,171108.0,maltodextrinCH,empty,2901.0,0.0,2901.0,0.0,24.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171108-084509,!2017-11-08_08h31m.Subject PPP1.8,PPP1.8,s14,cond2-malt2,2.0,LP,171108.0,empty,maltodextrinCH,0.0,1965.0,1965.0,0.0,0.0,15.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171109-112545,!2017-11-09_11h18m.Subject PPP1.1,PPP1.1,s15,cond2-malt2,1.0,NP,171109.0,empty,maltodextrinGR,0.0,3444.0,3444.0,1.0,0.0,27.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171109-112545,!2017-11-09_11h18m.Subject PPP1.2,PPP1.2,s15,cond2-malt2,2.0,NP,171109.0,maltodextrinGR,empty,1688.0,0.0,1688.0,6.0,14.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171109-091039,!2017-11-09_08h37m.Subject PPP1.3,PPP1.3,s15,cond2-cas2,1.0,NP,171109.0,empty,caseinGR,0.0,1210.0,1210.0,17.0,0.0,13.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171109-091039,!2017-11-09_08h37m.Subject PPP1.4,PPP1.4,s15,cond2-cas2,2.0,NP,171109.0,caseinGR,empty,1764.0,0.0,1764.0,1.0,15.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171109-100019,!2017-11-09_09h50m.Subject PPP1.5,PPP1.5,s15,cond2-malt2,1.0,LP,171109.0,empty,maltodextrinGR,0.0,2600.0,2600.0,1.0,0.0,17.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171109-100019,!2017-11-09_09h50m.Subject PPP1.6,PPP1.6,s15,cond2-malt2,2.0,LP,171109.0,maltodextrinGR,empty,2696.0,0.0,2696.0,0.0,18.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171109-104217,!2017-11-09_10h34m.Subject PPP1.7,PPP1.7,s15,cond2-cas2,1.0,LP,171109.0,empty,caseinGR,0.0,4151.0,4151.0,4.0,0.0,23.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171109-104217,!2017-11-09_10h34m.Subject PPP1.8,PPP1.8,s15,cond2-cas2,2.0,LP,171109.0,caseinGR,empty,2614.0,0.0,2614.0,0.0,19.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171110-083816,!2017-11-10_08h32m.Subject PPP1.1,PPP1.1,s16,pref3,1.0,NP,171110.0,caseinCH,maltodextrinGR,1424.0,779.0,2203.0,0.0,12.0,40.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171110-083816,!2017-11-10_08h32m.Subject PPP1.2,PPP1.2,s16,pref3,2.0,NP,171110.0,maltodextrinGR,caseinCH,1091.0,418.0,1509.0,14.0,10.0,5.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171110-104920,!2017-11-10_10h43m.Subject PPP1.3,PPP1.3,s16,pref3,1.0,NP,171110.0,maltodextrinCH,caseinGR,1238.0,868.0,2106.0,0.0,10.0,9.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171110-104920,!2017-11-10_10h43m.Subject PPP1.4,PPP1.4,s16,pref3,2.0,NP,171110.0,caseinGR,maltodextrinCH,1205.0,773.0,1426.0,1.0,10.0,5.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171110-092400,!2017-11-10_09h17m.Subject PPP1.5,PPP1.5,s16,pref3,1.0,LP,171110.0,caseinCH,maltodextrinGR,1388.0,703.0,1418.0,1.0,10.0,15.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171110-092400,!2017-11-10_09h18m.Subject PPP1.6,PPP1.6,s16,pref3,2.0,LP,171110.0,maltodextrinGR,caseinCH,677.0,1352.0,2029.0,1.0,9.0,9.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171110-113124,!2017-11-10_11h22m.Subject PPP1.7,PPP1.7,s16,pref3,1.0,LP,171110.0,maltodextrinCH,caseinGR,842.0,1289.0,1524.0,0.0,9.0,13.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171110-113124,!2017-11-10_11h22m.Subject PPP1.8,PPP1.8,s16,pref3,2.0,LP,171110.0,caseinGR,maltodextrinCH,1039.0,973.0,2012.0,0.0,9.0,7.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
